id,className,classId,dimData
1,Iris-setosa,1,"0.722,0.523,0.145,0.04"
2,Iris-setosa,1,"0.696,0.455,0.159,0.04"
3,Iris-setosa,1,"0.734,0.523,0.174,0.04"
4,Iris-setosa,1,"0.684,0.545,0.174,0.04"
5,Iris-setosa,1,"0.696,0.545,0.188,0.04"
6,Iris-setosa,1,"0.696,0.545,0.188,0.04"
7,Iris-setosa,1,"0.696,0.568,0.188,0.08"
8,Iris-setosa,1,"0.709,0.568,0.188,0.08"
9,Iris-setosa,1,"0.722,0.636,0.188,0.08"
10,Iris-setosa,1,"0.722,0.636,0.188,0.08"
11,Iris-setosa,1,"0.835,0.636,0.188,0.08"
12,Iris-setosa,1,"0.696,0.5,0.203,0.08"
13,Iris-setosa,1,"0.722,0.568,0.203,0.08"
14,Iris-setosa,1,"0.772,0.568,0.203,0.08"
15,Iris-setosa,1,"0.797,0.568,0.203,0.08"
16,Iris-setosa,1,"0.81,0.568,0.203,0.08"
17,Iris-setosa,1,"0.823,0.568,0.203,0.08"
18,Iris-setosa,1,"0.848,0.568,0.203,0.08"
19,Iris-setosa,1,"0.696,0.591,0.203,0.08"
20,Iris-setosa,1,"0.709,0.591,0.203,0.08"
21,Iris-setosa,1,"0.734,0.636,0.203,0.08"
22,Iris-setosa,1,"0.759,0.636,0.203,0.08"
23,Iris-setosa,1,"0.772,0.636,0.203,0.08"
24,Iris-setosa,1,"0.759,0.5,0.217,0.08"
25,Iris-setosa,1,"0.797,0.5,0.217,0.08"
26,Iris-setosa,1,"0.646,0.523,0.217,0.08"
27,Iris-setosa,1,"0.684,0.523,0.217,0.08"
28,Iris-setosa,1,"0.709,0.591,0.217,0.08"
29,Iris-setosa,1,"0.797,0.591,0.217,0.08"
30,Iris-setosa,1,"0.937,0.591,0.217,0.08"
31,Iris-setosa,1,"0.696,0.614,0.217,0.08"
32,Iris-setosa,1,"0.709,0.614,0.217,0.08"
33,Iris-setosa,1,"0.722,0.614,0.217,0.08"
34,Iris-setosa,1,"0.797,0.636,0.217,0.08"
35,Iris-setosa,1,"0.835,0.636,0.217,0.12"
36,Iris-setosa,1,"0.848,0.636,0.217,0.12"
37,Iris-setosa,1,"0.848,0.636,0.217,0.12"
38,Iris-setosa,1,"0.734,0.614,0.232,0.12"
39,Iris-setosa,1,"0.785,0.614,0.232,0.12"
40,Iris-setosa,1,"0.797,0.614,0.232,0.12"
41,Iris-setosa,1,"0.823,0.614,0.232,0.12"
42,Iris-setosa,1,"0.823,0.614,0.232,0.16"
43,Iris-setosa,1,"0.873,0.636,0.232,0.16"
44,Iris-setosa,1,"0.722,0.659,0.232,0.16"
45,Iris-setosa,1,"0.823,0.614,0.246,0.16"
46,Iris-setosa,1,"0.797,0.636,0.246,0.16"
47,Iris-setosa,1,"0.962,0.636,0.246,0.16"
48,Iris-setosa,1,"0.722,0.659,0.246,0.16"
49,Iris-setosa,1,"0.709,0.636,0.275,0.2"
50,Iris-setosa,1,"0.608,0.659,0.275,0.24"
51,Iris-versicolor,2,"0.544,0.682,0.435,0.4"
52,Iris-versicolor,2,"0.734,0.659,0.478,0.4"
53,Iris-versicolor,2,"0.734,0.659,0.478,0.4"
54,Iris-versicolor,2,"0.734,0.659,0.507,0.4"
55,Iris-versicolor,2,"0.747,0.659,0.507,0.4"
56,Iris-versicolor,2,"0.734,0.682,0.522,0.4"
57,Iris-versicolor,2,"0.759,0.659,0.536,0.4"
58,Iris-versicolor,2,"0.557,0.682,0.551,0.44"
59,Iris-versicolor,2,"0.595,0.682,0.565,0.44"
60,Iris-versicolor,2,"0.608,0.682,0.565,0.44"
61,Iris-versicolor,2,"0.861,0.682,0.565,0.48"
62,Iris-versicolor,2,"0.81,0.659,0.58,0.48"
63,Iris-versicolor,2,"0.633,0.682,0.58,0.48"
64,Iris-versicolor,2,"0.747,0.682,0.58,0.48"
65,Iris-versicolor,2,"0.759,0.682,0.58,0.48"
66,Iris-versicolor,2,"0.759,0.682,0.58,0.52"
67,Iris-versicolor,2,"0.823,0.659,0.594,0.52"
68,Iris-versicolor,2,"0.772,0.682,0.594,0.52"
69,Iris-versicolor,2,"0.785,0.682,0.594,0.52"
70,Iris-versicolor,2,"0.646,0.682,0.609,0.52"
71,Iris-versicolor,2,"0.797,0.682,0.609,0.52"
72,Iris-versicolor,2,"0.797,0.682,0.609,0.52"
73,Iris-versicolor,2,"0.57,0.705,0.609,0.52"
74,Iris-versicolor,2,"0.81,0.682,0.623,0.52"
75,Iris-versicolor,2,"0.81,0.682,0.623,0.52"
76,Iris-versicolor,2,"0.709,0.682,0.638,0.52"
77,Iris-versicolor,2,"0.81,0.682,0.638,0.52"
78,Iris-versicolor,2,"0.861,0.682,0.638,0.52"
79,Iris-versicolor,2,"0.873,0.682,0.638,0.56"
80,Iris-versicolor,2,"0.848,0.682,0.652,0.56"
81,Iris-versicolor,2,"0.62,0.705,0.652,0.56"
82,Iris-versicolor,2,"0.633,0.705,0.652,0.56"
83,Iris-versicolor,2,"0.747,0.705,0.652,0.56"
84,Iris-versicolor,2,"0.772,0.705,0.652,0.56"
85,Iris-versicolor,2,"0.772,0.705,0.652,0.56"
86,Iris-versicolor,2,"0.975,0.705,0.71,0.56"
87,Iris-versicolor,2,"0.582,0.727,0.652,0.6"
88,Iris-versicolor,2,"0.848,0.727,0.652,0.6"
89,Iris-versicolor,2,"0.848,0.682,0.667,0.6"
90,Iris-versicolor,2,"0.886,0.682,0.667,0.6"
91,Iris-versicolor,2,"0.81,0.705,0.667,0.6"
92,Iris-versicolor,2,"0.722,0.682,0.681,0.6"
93,Iris-versicolor,2,"0.924,0.682,0.681,0.6"
94,Iris-versicolor,2,"0.557,0.705,0.681,0.6"
95,Iris-versicolor,2,"0.848,0.705,0.681,0.6"
96,Iris-versicolor,2,"0.595,0.727,0.681,0.6"
97,Iris-versicolor,2,"0.911,0.727,0.71,0.6"
98,Iris-versicolor,2,"0.62,0.75,0.71,0.6"
99,Iris-versicolor,2,"0.557,0.705,0.696,0.64"
100,Iris-versicolor,2,"0.633,0.727,0.696,0.64"
101,Iris-virginica,3,"0.899,0.727,0.696,0.64"
102,Iris-virginica,3,"0.658,0.773,0.71,0.64"
103,Iris-virginica,3,"0.911,0.727,0.696,0.68"
104,Iris-virginica,3,"0.608,0.727,0.725,0.68"
105,Iris-virginica,3,"0.873,0.705,0.71,0.72"
106,Iris-virginica,3,"0.772,0.727,0.725,0.72"
107,Iris-virginica,3,"0.633,0.773,0.725,0.72"
108,Iris-virginica,3,"0.671,0.773,0.725,0.72"
109,Iris-virginica,3,"0.608,0.727,0.739,0.72"
110,Iris-virginica,3,"0.797,0.727,0.739,0.72"
111,Iris-virginica,3,"0.684,0.75,0.739,0.72"
112,Iris-virginica,3,"0.633,0.773,0.739,0.72"
113,Iris-virginica,3,"0.646,0.773,0.739,0.72"
114,Iris-virginica,3,"0.785,0.773,0.739,0.72"
115,Iris-virginica,3,"0.633,0.841,0.739,0.72"
116,Iris-virginica,3,"0.658,0.886,0.739,0.72"
117,Iris-virginica,3,"0.911,0.773,0.754,0.76"
118,Iris-virginica,3,"0.658,0.841,0.754,0.76"
119,Iris-virginica,3,"0.646,0.773,0.768,0.76"
120,Iris-virginica,3,"0.633,0.864,0.768,0.76"
121,Iris-virginica,3,"0.62,0.795,0.783,0.76"
122,Iris-virginica,3,"0.646,0.864,0.783,0.8"
123,Iris-virginica,3,"0.785,0.75,0.797,0.8"
124,Iris-virginica,3,"0.861,0.75,0.797,0.8"
125,Iris-virginica,3,"0.633,0.795,0.797,0.8"
126,Iris-virginica,3,"0.759,0.727,0.812,0.8"
127,Iris-virginica,3,"0.975,0.75,0.812,0.8"
128,Iris-virginica,3,"0.646,0.795,0.812,0.84"
129,Iris-virginica,3,"0.62,0.818,0.812,0.84"
130,Iris-virginica,3,"0.684,0.886,0.812,0.84"
131,Iris-virginica,3,"0.582,0.909,0.812,0.84"
132,Iris-virginica,3,"0.646,0.795,0.826,0.84"
133,Iris-virginica,3,"0.646,0.864,0.826,0.84"
134,Iris-virginica,3,"0.582,0.932,0.826,0.88"
135,Iris-virginica,3,"0.81,0.727,0.841,0.88"
136,Iris-virginica,3,"0.975,0.75,0.841,0.88"
137,Iris-virginica,3,"1,0.818,0.841,0.92"
138,Iris-virginica,3,"0.684,0.795,0.855,0.92"
139,Iris-virginica,3,"0.684,0.864,0.855,0.92"
140,Iris-virginica,3,"0.62,0.773,0.87,0.92"
141,Iris-virginica,3,"0.62,0.955,0.87,0.92"
142,Iris-virginica,3,"0.646,0.773,0.884,0.92"
143,Iris-virginica,3,"0.848,0.864,0.884,0.92"
144,Iris-virginica,3,"0.658,1,0.884,0.92"
145,Iris-virginica,3,"0.633,0.773,0.913,0.96"
146,Iris-virginica,3,"0.975,0.773,0.928,0.96"
147,Iris-virginica,3,"0.582,0.818,0.957,0.96"
148,Iris-virginica,3,"0.608,0.795,0.971,1"
149,Iris-virginica,3,"0.633,0.841,0.971,1"
150,Iris-virginica,3,"0.873,0.864,1,1"
